trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
391,False,"{'a': 0.3, 'e': 0.019649933621386378}",30,16,27.14107822263213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.3, 'e': 0.019453434285172513}",20,8,20.153586733066312,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.3, 'e': 0.019258899942320787}",20,10,17.14644689299113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.3, 'e': 0.01906631094289758}",25,13,19.287381856147398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.3, 'e': 0.018875647833468602}",20,9,16.499762192156957,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.3, 'e': 0.018686891355133916}",30,21,16.369922409037102,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.3, 'e': 0.018500022441582577}",20,6,25.566636786811078,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.3, 'e': 0.01831502221716675}",25,20,8.194720224142266,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.3, 'e': 0.018131871994995084}",25,17,15.954861849913339,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.3, 'e': 0.017950553275045134}",20,16,5.714114737199977,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.3, 'e': 0.017771047742294682}",25,0,44.69647210943961,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
402,False,"{'a': 0.3, 'e': 0.017593337264871736}",25,12,22.48290671260403,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.3, 'e': 0.01741740389222302}",20,14,10.931162859451701,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.3, 'e': 0.01724322985330079}",20,6,25.23798965635188,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.3, 'e': 0.017070797554767782}",20,15,7.023386117548121,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.3, 'e': 0.016900089579220106}",20,6,24.745818544051186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.3, 'e': 0.016731088683427906}",20,11,14.79417635951829,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.3, 'e': 0.016563777796593626}",25,20,10.683865812238736,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.3, 'e': 0.016398140018627688}",20,11,17.34671974804048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.3, 'e': 0.01623415861844141}",25,13,22.617850464144897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.3, 'e': 0.016071817032256998}",25,6,35.82404265797401,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.3, 'e': 0.01591109886193443}",25,14,20.967343532578155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.3, 'e': 0.015751987873315085}",20,13,14.078442032895152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
